Date/Time,Action,Table Name / Player / Tournament #,Game,Payment method,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money,W Money,Amount_clean,Amount_numeric
2025/09/09 7:32 PM,Tournament Registration,3925282027,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,(2.20),0.00,0.00,0.00,129.63,0.00,0.00,0.00,-2.20,-2.2
2025/09/09 8:44 PM,Tournament Interim Payout,3925282027,,,USD,3.69,0.00,0.00,0.00,133.32,0.00,0.00,0.00,3.69,3.69
2025/09/09 9:41 PM,Tournament Won,3925282027,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,31.69,0.00,0.00,0.00,165.01,0.00,0.00,0.00,31.69,31.69
2025/09/11 7:44 PM,Tournament Registration,3926847598,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,(2.20),0.00,0.00,0.00,162.81,0.00,0.00,0.00,-2.20,-2.2
2025/09/12 2:21 PM,Tournament Registration,3924436472,"PL Courchevel Buy-In: 14.70/1.80 WCOOP Side Event: $16.50 PL Courchevel H/L [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(16.50),0.00,0.00,0.00,146.31,0.00,0.00,0.00,-16.50,-16.5
2025/09/12 2:31 PM,Tournament Re-entry,3924436472,,,USD,(16.50),0.00,0.00,0.00,129.81,0.00,0.00,0.00,-16.50,-16.5
2025/09/12 3:09 PM,Tournament Re-entry,3924436472,,,USD,(16.50),0.00,0.00,0.00,118.86,0.00,0.00,0.00,-16.50,-16.5
2025/09/12 3:40 PM,Tournament Registration,3924436475,"NL Omaha Buy-In: 3.92/0.48 WCOOP Side Event: $4.40 NL Omaha H/L [Heads-Up, Turbo, Progressive Total KO, Zoom], #PrizeGuaranteedShort# Gtd",,USD,(4.40),0.00,0.00,0.00,121.86,0.00,0.00,0.00,-4.40,-4.4
2025/09/12 3:41 PM,Tournament Re-entry,3924436472,,,USD,(16.50),0.00,0.00,0.00,105.36,0.00,0.00,0.00,-16.50,-16.5
2025/09/12 3:53 PM,Tournament Re-entry,3924436475,,,USD,(4.40),0.00,0.00,0.00,100.96,0.00,0.00,0.00,-4.40,-4.4
2025/09/12 3:54 PM,Tournament Re-entry,3924436475,,,USD,(4.40),0.00,0.00,0.00,96.56,0.00,0.00,0.00,-4.40,-4.4
2025/09/12 4:36 PM,Tournament Interim Payout,3924436472,,,USD,13.32,0.00,0.00,0.00,116.74,0.00,0.00,0.00,13.32,13.32
2025/09/12 5:54 PM,Tournament Won,3924436472,"PL Courchevel Buy-In: 14.70/1.80 WCOOP Side Event: $16.50 PL Courchevel H/L [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,15.52,0.00,0.00,0.00,146.30,0.00,0.00,0.00,15.52,15.52
2025/09/12 6:23 PM,Tournament Registration,3926847567,"PL Omaha Buy-In: 9.80/1.20 $11 PLO8 [7-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(11.00),0.00,0.00,0.00,135.30,0.00,0.00,0.00,-11.00,-11.0
2025/09/12 6:39 PM,Tournament Re-entry,3926847567,,,USD,(11.00),0.00,0.00,0.00,124.30,0.00,0.00,0.00,-11.00,-11.0
2025/09/12 6:55 PM,Tournament Re-entry,3926847567,,,USD,(11.00),0.00,0.00,0.00,113.30,0.00,0.00,0.00,-11.00,-11.0
2025/09/12 7:34 PM,Tournament Registration,3926847599,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,(2.20),0.00,0.00,0.00,111.10,0.00,0.00,0.00,-2.20,-2.2
2025/09/12 8:14 PM,Tournament Interim Payout,3926847567,,,USD,9.43,0.00,0.00,0.00,120.53,0.00,0.00,0.00,9.43,9.43
2025/09/12 8:23 PM,Tournament Won,3926847567,"PL Omaha Buy-In: 9.80/1.20 $11 PLO8 [7-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,1.13,0.00,0.00,0.00,121.66,0.00,0.00,0.00,1.13,1.13
2025/09/12 8:46 PM,Tournament Interim Payout,3926847599,,,USD,4.15,0.00,0.00,0.00,125.81,0.00,0.00,0.00,4.15,4.15
2025/09/13 9:22 AM,Tournament Registration,3926846738,"PL Omaha Buy-In: 9.80/1.20 KOmania $11 PLO8 [Saturday Special], #PrizeGuaranteedShort# Gtd",,USD,(11.00),0.00,0.00,0.00,114.81,0.00,0.00,0.00,-11.00,-11.0
2025/09/13 9:27 AM,Tournament Re-entry,3926846738,,,USD,(11.00),0.00,0.00,0.00,103.81,0.00,0.00,0.00,-11.00,-11.0
2025/09/13 9:36 AM,Tournament Re-entry,3926846738,,,USD,(11.00),0.00,0.00,0.00,92.81,0.00,0.00,0.00,-11.00,-11.0
2025/09/13 10:25 AM,Tournament Registration,3926847437,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(7.50),0.00,0.00,0.00,85.31,0.00,0.00,0.00,-7.50,-7.5
2025/09/13 12:38 PM,Tournament Interim Payout,3926847437,,,USD,5.78,0.00,0.00,0.00,95.34,0.00,0.00,0.00,5.78,5.78
2025/09/13 1:12 PM,Tournament Won,3926847437,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,2.78,0.00,0.00,0.00,106.62,0.00,0.00,0.00,2.78,2.78
2025/09/13 1:38 PM,Tournament Registration,3926847463,"PL Courchevel Buy-In: 3.92/0.48 $4.40 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(4.40),0.00,0.00,0.00,102.22,0.00,0.00,0.00,-4.40,-4.4
2025/09/13 1:42 PM,Tournament Re-entry,3926847463,,,USD,(4.40),0.00,0.00,0.00,97.82,0.00,0.00,0.00,-4.40,-4.4
2025/09/13 1:47 PM,Tournament Re-entry,3926847463,,,USD,(4.40),0.00,0.00,0.00,93.42,0.00,0.00,0.00,-4.40,-4.4
2025/09/13 1:52 PM,Tournament Re-entry,3926847463,,,USD,(4.40),0.00,0.00,0.00,89.02,0.00,0.00,0.00,-4.40,-4.4
2025/09/13 2:32 PM,Tournament Interim Payout,3926847463,,,USD,3.36,0.00,0.00,0.00,94.88,0.00,0.00,0.00,3.36,3.36
2025/09/13 4:49 PM,Tournament Won,3926847463,"PL Courchevel Buy-In: 3.92/0.48 $4.40 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,9.60,0.00,0.00,0.00,108.23,0.00,0.00,0.00,9.60,9.6
2025/09/13 7:56 PM,Tournament Registration,3926847600,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,(2.20),0.00,0.00,0.00,106.03,0.00,0.00,0.00,-2.20,-2.2
2025/09/13 7:58 PM,Tournament Registration,3926847592,"PL Omaha Buy-In: 4.90/0.60 $5.50 PLO8, #PrizeGuaranteedShort# Gtd",,USD,(5.50),0.00,0.00,0.00,100.53,0.00,0.00,0.00,-5.50,-5.5
2025/09/13 8:31 PM,Tournament Re-entry,3926847592,,,USD,(5.50),0.00,0.00,0.00,95.03,0.00,0.00,0.00,-5.50,-5.5
2025/09/13 8:36 PM,Tournament Interim Payout,3926847600,,,USD,3.41,0.00,0.00,0.00,98.44,0.00,0.00,0.00,3.41,3.41
2025/09/13 8:39 PM,Tournament Re-entry,3926847592,,,USD,(5.50),0.00,0.00,0.00,92.94,0.00,0.00,0.00,-5.50,-5.5
2025/09/13 10:16 PM,Tournament Won,3926847600,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,22.05,0.00,0.00,0.00,114.99,0.00,0.00,0.00,22.05,22.05
2025/09/14 11:01 AM,Tournament Registration,3926847438,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(7.50),0.00,0.00,0.00,60.49,0.00,0.00,0.00,-7.50,-7.5
2025/09/14 1:05 PM,Tournament Interim Payout,3926847438,,,USD,6.13,0.00,0.00,0.00,66.62,0.00,0.00,0.00,6.13,6.13
2025/09/14 1:20 PM,Tournament Won,3926847438,"PL Courchevel Buy-In: 6.69/0.81 $7.50 PL Courchevel Hi/Lo [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,2.96,0.00,0.00,0.00,69.58,0.00,0.00,0.00,2.96,2.96
2025/09/14 5:34 PM,Tournament Registration,3926846826,"NL Omaha Buy-In: 10.27/0.73 Hot Hyper KOmania $11 NLO8 [6-Max, Hyper-Turbo, Progressive KO, Weekend Special], #PrizeGuaranteedShort# Gtd",,USD,(11.00),0.00,0.00,0.00,58.58,0.00,0.00,0.00,-11.00,-11.0
2025/09/14 6:04 PM,Tournament Registration,3925319868,"NL Omaha Buy-In: 5.05/0.45 WCOOP Side Event: $5.50 NLO8 [6-Max, Progressive KO], #PrizeGuaranteedShort# Gtd",,USD,(5.50),0.00,0.00,0.00,55.58,0.00,0.00,0.00,-5.50,-5.5
2025/09/14 6:08 PM,Tournament Interim Payout,3926846826,,,USD,9.91,0.00,0.00,0.00,67.99,0.00,0.00,0.00,9.91,9.91
2025/09/14 7:16 PM,Tournament Registration,3926847601,"PL Courchevel Buy-In: 1.96/0.24 $2.20 PL Courchevel Hi/Lo [6-Max, Turbo], #PrizeGuaranteedShort# Gtd",,USD,(2.20),0.00,0.00,0.00,71.42,0.00,0.00,0.00,-2.20,-2.2
